s2_file_names,class_name,AnnualCrop,Forest,HerbaceousVegetation,Highway,Industrial,Pasture,PermanentCrop,Residential,River,SeaLake
AnnualCrop_611.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_560.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_43.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_412.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_852.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_328.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_513.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_828.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_879.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_979.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_157.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_700.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_931.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_993.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_552.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_121.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_971.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_613.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_943.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_523.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_790.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_793.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_234.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_536.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_318.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_216.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_817.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_62.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_59.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_379.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_337.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_610.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_825.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_997.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_698.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_670.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_476.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_645.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_681.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_640.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_289.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_91.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_616.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_771.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_707.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_473.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_77.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_652.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_589.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_220.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_769.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_485.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_806.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_420.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_932.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_503.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_976.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_425.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_1.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_171.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_650.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_124.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_82.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_627.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_249.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_113.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_376.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_438.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_277.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_873.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_576.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_435.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_188.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_23.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_184.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_575.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_541.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_656.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_544.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_602.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_590.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_364.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_786.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_342.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_711.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_788.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_915.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_953.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_118.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_208.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_129.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_55.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_720.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_689.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_423.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_49.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_926.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_875.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_620.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_992.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_514.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_923.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualCrop_443.npy,AnnualCrop,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
